age,sex,educ,race,income,married,pid
75,0,13,,44600,1,210
27,0,8,1,40000,0,211
37,0,13,3,56150,1,212
77,1,10,1,14200,0,213
38,1,13,1,15000,0,214
51,1,12,1,30000,1,215
23,1,11,3,10210,1,216
34,0,1,,6000,1,217
39,1,14,3,52000,1,218
53,1,6,1,0,0,219
30,1,10,1,27000,1,220
39,,8,3,29700,0,221
40,0,13,1,11000,0,
43,0,14,1,56000,1,223
34,1,15,,77000,0,224
72,0,6,1,13800,1,225
73,0,11,1,,1,226
77,1,9,1,11000,0,227
43,1,13,1,26180,1,228
31,1,5,3,5200,1,229
36,0,12,1,80000,,230
61,0,12,1,69000,1,231
74,0,11,1,73700,1,232
38,1,,1,40000,1,233
45,,15,2,90000,1,234
32,,12,4,26800,1,235
55,0,11,1,,1,236
51,1,12,1,0,,237
47,1,,1,0,1,238
42,1,9,4,0,1,239
,0,16,1,61200,0,240
,1,13,1,55000,0,241
42,1,13,1,3000,1,242
65,1,9,1,5200,1,243
51,0,13,1,56000,,244
70,1,3,3,18900,1,245
57,1,11,1,62700,1,246
48,0,2,4,10000,1,247
69,1,13,1,4300,1,248
76,0,9,1,,1,249
46,0,9,1,9500,0,250
35,0,9,3,1400,1,251
72,0,9,,180000,1,252
18,1,9,,4000,0,253
40,1,13,1,0,1,254
33,1,13,1,72000,1,255
46,0,13,1,45000,1,256
,1,12,1,14030,0,257
48,0,11,4,20040,1,258
30,,9,1,9000,0,259
28,1,4,3,0,1,260
40,1,14,1,940,1,261
18,,7,1,0,0,262
37,0,11,1,68000,1,263
41,0,11,1,41000,0,264
93,1,9,1,19200,1,265
52,1,12,1,23000,1,266
43,,3,3,13000,0,267
35,1,11,1,,1,268
34,0,9,1,45000,1,269
66,0,11,3,12000,0,270
86,1,9,,23800,0,271
42,1,12,2,0,0,272
73,1,11,2,16000,0,273
19,1,9,3,0,0,274
37,0,4,3,52000,1,275
85,0,11,1,119700,1,276
40,1,3,3,0,,277
73,0,15,1,115000,1,278
78,1,13,4,29300,1,279
62,1,14,1,325000,1,280
48,0,9,3,41600,0,281
75,1,8,1,19000,0,
71,1,9,1,39300,0,283
29,0,11,6,0,0,284
30,0,12,1,36420,,285
74,1,5,4,0,,286
,1,10,2,0,1,287
19,1,7,3,2200,0,288
31,0,7,,0,1,289
41,,9,1,24620,1,290
49,1,6,3,0,0,291
38,,12,3,40000,1,292
35,1,11,,71000,1,293
45,0,10,1,49000,0,294
42,0,14,1,42500,1,295
28,0,9,1,0,,296
32,1,1,4,9530,,297
48,1,14,1,27900,0,298
,1,14,1,24020,0,299
44,0,13,4,,1,300
75,1,9,1,18800,0,301
52,0,12,1,168000,1,302
39,1,12,1,39000,0,303
60,0,13,4,167000,1,304
34,1,,3,73000,1,305
50,0,12,1,58200,0,306
47,1,1,,7530,1,307
48,0,13,1,140500,1,308
68,0,13,,31800,1,309
30,0,8,1,50000,1,310
67,0,13,1,,1,311
29,1,5,3,1800,1,312
40,1,11,,56000,0,313
84,0,13,1,32100,1,314
67,0,4,2,,1,315
74,0,12,1,13000,,316
72,1,2,3,8200,0,
72,,9,4,17100,1,318
82,1,13,1,8400,1,319
24,0,5,3,10000,0,320
54,1,10,1,35000,1,321
67,0,6,1,7000,1,322
18,0,11,4,2200,,323
,0,11,2,30000,1,324
70,1,9,1,4800,1,325
73,0,13,1,7200,1,326
41,1,14,1,15400,1,327
68,0,14,1,44000,1,
82,,15,1,138300,1,329
20,1,3,3,0,0,330
31,1,14,1,,0,331
27,,9,3,44500,0,332
70,1,9,1,7000,1,333
49,0,15,1,54000,1,334
62,1,10,3,70000,1,335
53,0,9,1,16940,0,336
40,0,4,3,0,,337
80,0,8,1,28900,1,338
36,0,11,4,0,0,339
29,0,2,,28900,1,340
38,1,11,3,0,1,341
65,1,13,,0,0,342
,1,9,3,13000,0,343
40,1,8,3,10500,1,344
42,,13,1,382000,1,345
36,1,5,3,20300,1,346
37,0,11,1,52000,1,347
25,1,9,2,0,,348
74,1,9,1,7200,1,
40,0,9,1,38000,0,350
48,1,4,4,13500,0,351
44,0,14,1,138100,0,352
40,1,10,3,15000,1,353
23,0,11,1,0,,354
66,1,5,2,,1,355
47,0,13,1,35300,0,356
58,0,10,1,80000,0,357
42,1,9,1,3500,,358
26,0,9,1,24000,0,359
32,1,8,,0,1,360
36,0,14,3,61900,1,361
22,1,11,1,10600,0,362
23,1,12,4,4000,1,363
46,1,12,,8400,0,364
23,0,8,,23500,0,365
71,0,15,1,42000,1,366
55,1,9,4,10000,1,367
34,1,3,3,0,1,368
49,0,13,1,12000,0,369
42,1,11,2,0,0,
71,0,1,3,,1,371
28,1,13,,28000,1,372
23,1,12,2,14400,0,373
18,1,9,3,0,0,374
48,,10,1,60000,1,375
65,0,12,1,22800,,376
44,1,1,3,18000,0,377
52,1,13,1,42800,0,378
65,0,6,1,22300,0,379
20,1,9,,5900,0,380
27,1,13,,5450,1,381
36,1,16,4,0,1,382
88,1,11,1,0,1,383
84,1,1,4,10500,,384
41,0,13,1,,1,385
35,0,9,1,30000,1,386
30,1,11,1,38700,1,387
23,1,13,4,10700,1,388
23,0,6,,6100,0,389
51,1,,1,118000,0,390
27,1,13,1,41600,0,391
47,1,13,1,0,1,392
71,1,9,1,8000,1,393
78,1,1,3,9300,0,394
44,1,12,,4930,1,395
,1,9,4,1200,1,396
38,0,2,3,16000,1,397
25,0,11,,0,0,398
,0,13,4,25000,1,399
20,0,11,4,4200,0,400
66,,9,1,3200,0,401
26,0,13,3,28000,0,402
62,,13,1,70000,1,403
45,1,11,1,69200,0,404
38,1,,2,1000,1,405
51,1,7,1,7200,0,406
21,0,13,1,5000,0,
42,1,13,1,2500,0,408
20,0,10,4,35400,0,
51,1,9,,4200,0,410
22,1,11,3,19400,0,411
65,0,6,3,18500,0,412
38,0,9,1,100000,1,413
,1,9,3,11000,1,414
27,1,12,3,38000,0,415
58,0,9,1,99000,1,416
73,0,1,3,7200,0,417
19,0,11,3,7000,,418
24,1,13,4,100,0,419
30,1,11,,20200,1,420
37,0,,1,55000,1,421
51,0,1,3,56300,,422
45,0,9,1,36000,0,423
81,1,14,1,6000,0,424
61,,13,1,95300,1,425
30,1,12,4,10284,0,426
58,1,9,1,37000,0,427
58,0,12,2,46050,1,428
46,0,4,3,23100,0,429
47,1,2,3,19000,1,430
23,0,10,,1500,0,431
36,0,8,3,0,1,432
82,0,9,1,20700,1,433
20,1,11,2,8600,0,434
22,1,,3,0,0,435
67,0,14,,90300,1,436
22,0,13,3,15600,0,437
79,0,6,3,54600,1,438
18,0,8,4,0,0,439
48,1,14,1,39000,0,440
32,0,9,3,20000,,441
35,0,9,1,13000,0,442
49,1,11,1,30000,1,443
46,0,11,1,,1,444
28,0,11,3,10000,0,445
50,0,8,3,17900,,446
28,,9,2,8400,0,447
87,1,,1,8000,1,448
49,0,,1,30300,1,449
23,1,6,4,4000,0,450
40,1,3,3,20000,,451
26,1,9,,38600,0,452
48,1,9,2,0,0,453
82,1,3,2,9900,0,454
78,0,5,2,0,0,455
34,1,8,1,25000,1,456
36,1,13,4,67000,0,457
19,1,9,3,3000,0,458
31,1,3,3,0,1,459
34,0,9,1,14000,1,460
19,0,5,3,0,0,461
33,0,13,1,109000,0,462
93,1,2,3,10000,0,463
30,1,16,1,14600,0,464
42,1,6,2,0,1,465
31,0,3,3,16300,1,466
23,0,13,1,28000,1,467
62,1,12,1,51350,1,468
,1,2,1,0,1,469
88,1,12,1,18500,1,470
37,0,12,1,25900,0,
32,1,13,1,47800,0,472
42,0,9,1,17700,1,473
40,0,13,1,700,0,474
64,0,9,1,16000,1,475
31,1,14,1,35000,0,
30,0,11,4,36500,1,477
69,0,10,1,23500,1,478
53,0,12,3,76800,1,479
51,1,9,1,52120,0,480
27,0,7,3,17000,,481
29,1,12,4,38000,1,482
28,1,11,4,9000,1,483
42,1,12,3,13300,1,484
34,0,9,3,60100,1,485
37,0,14,1,95000,1,486
31,1,9,3,2000,1,487
36,0,9,1,64000,1,488
44,1,1,3,0,1,489
53,0,11,1,38000,0,490
23,1,9,1,9000,0,491
37,,10,4,54300,1,492
29,1,8,3,5000,1,493
38,0,13,1,90580,,494
57,1,5,1,5100,1,495
27,0,8,1,22000,0,496
86,1,9,1,8700,0,497
75,0,8,1,7400,0,498
37,1,,4,13100,1,499
23,0,8,1,30000,0,500
63,0,13,2,50000,1,501
26,1,11,1,0,1,502
51,0,13,1,325000,1,503
42,0,9,1,64000,1,504
43,1,,1,0,1,505
51,0,14,1,,1,506
69,0,11,1,90300,,507
52,0,10,1,60000,,508
74,0,13,1,21100,1,509
22,0,12,1,31000,1,510
43,1,9,1,,0,511
56,0,11,,44200,0,512
31,1,9,,4600,0,513
38,0,9,3,7200,0,514
89,1,13,1,7000,0,515
62,1,12,1,,1,516
75,1,11,1,8200,1,517
34,1,12,1,10000,1,
35,0,2,3,32000,1,519
35,0,13,1,60000,0,520
45,1,9,4,0,1,521
19,0,6,3,19000,1,522
32,0,8,1,40000,1,523
47,1,11,1,65000,0,524
72,1,9,1,3600,1,525
49,0,14,1,132000,0,526
48,0,11,4,49000,0,527
32,0,14,1,66200,,528
28,0,11,3,13000,1,
20,,11,1,1600,0,530
57,0,16,1,123000,1,531
18,0,,2,2400,0,532
35,0,12,3,27000,1,533
45,0,13,,80000,1,534
72,0,8,1,14000,,535
54,0,12,1,125700,1,536
39,1,10,3,80000,0,537
40,1,9,1,0,1,538
63,1,1,3,3030,0,539
19,1,10,1,2100,0,540
40,1,12,3,17100,0,541
59,,12,1,13000,0,542
42,0,13,1,33400,1,543
42,0,9,2,0,1,544
38,1,16,1,60000,0,545
61,0,9,1,,1,546
55,1,11,3,,0,547
54,1,,3,3200,0,548
80,0,14,1,41300,1,549
46,0,12,4,50000,1,550
,1,13,1,31900,1,551
46,0,13,6,140000,1,552
28,1,9,1,12000,,553
38,1,11,1,29900,0,554
,1,13,1,31030,1,555
22,0,13,4,760,0,556
48,0,8,1,57000,0,557
42,0,3,3,19200,1,
23,0,9,3,46000,0,
29,1,11,2,30000,0,560
65,1,1,4,0,0,561
54,0,13,1,42500,1,562
34,0,9,2,12100,0,563
61,1,9,1,25000,,564
70,,6,1,0,0,565
82,0,9,1,10100,1,566
48,0,13,1,44000,1,567
66,1,9,1,13800,,568
27,,13,4,15200,1,569
42,0,9,1,,1,570
47,1,11,1,59000,1,571
70,0,13,,51100,1,572
,0,9,1,27500,1,573
47,0,9,1,45000,1,574
39,1,9,1,24000,1,575
,1,9,3,2200,0,576
,0,11,1,151800,1,577
,0,9,1,80000,1,578
55,,11,1,0,1,579
26,0,13,4,38800,1,
65,0,7,2,40900,1,581
78,1,1,4,6400,0,582
57,1,9,1,30000,0,583
35,0,9,1,32000,1,584
28,0,13,3,40000,0,585
74,1,10,2,7900,0,586
54,1,11,1,4600,1,587
80,0,11,1,16900,1,588
32,1,3,3,0,1,589
21,1,7,3,1100,0,590
43,0,5,3,13400,1,
24,,14,3,40000,1,592
60,1,9,1,19000,0,593
22,0,,3,22000,1,594
30,,13,1,0,0,595
30,0,2,3,4000,1,596
35,1,13,1,460,1,597
23,0,9,1,14300,0,598
29,0,15,4,60400,1,599
66,1,1,3,5000,0,600
18,0,3,3,0,0,601
69,1,11,3,11900,1,602
40,1,11,,18000,1,603
57,1,11,1,50020,1,604
51,0,11,1,6000,0,605
82,1,13,1,,1,606
57,0,9,1,35000,1,607
34,,9,1,16600,1,608
20,0,7,1,25000,0,609
28,0,10,,280,0,610
20,1,11,3,7200,0,611
23,1,9,3,13000,0,612
80,1,11,1,18500,0,613
34,0,11,3,45000,0,614
46,,12,4,39300,1,615
50,1,13,1,,0,616
32,0,13,1,100000,,617
56,0,15,1,,1,618
18,1,7,1,2000,0,619
48,1,12,1,35500,1,620
45,0,14,4,84900,1,621
60,0,8,3,71600,1,622
83,0,,1,29400,0,623
,0,11,2,72000,0,624
33,0,8,4,17400,,625
33,0,5,3,,0,626
52,0,9,1,34440,1,627
42,0,3,3,22900,1,628
69,1,11,1,7000,1,629
25,1,13,4,0,0,630
,0,9,1,343000,1,631
,0,9,4,4500,0,632
55,1,7,1,,1,633
41,0,5,3,7000,1,634
75,1,10,1,8320,0,
39,0,8,2,29000,0,636
40,0,11,1,76000,1,637
39,0,,4,48800,1,638
48,0,13,1,325000,1,639
81,0,11,1,,1,640
70,0,13,1,36100,0,641
82,,9,3,9600,0,642
45,0,15,1,64000,1,643
83,1,13,3,9000,0,644
37,0,8,4,30200,0,645
31,1,11,1,12100,0,646
18,,5,3,0,0,647
29,1,1,3,,1,648
40,0,11,3,9000,1,649
43,0,13,1,325000,1,650
45,1,9,3,12000,1,651
45,0,13,6,85000,1,652
60,0,13,1,25000,0,653
76,1,11,2,,0,654
24,0,13,,32000,0,655
38,1,12,2,92000,0,656
62,0,11,1,2000,1,657
35,1,9,2,,0,658
30,1,8,3,28250,0,659
23,1,6,3,9600,0,
40,0,9,4,33000,0,661
52,,3,4,7500,1,662
40,1,10,1,26000,1,663
46,1,,4,11700,1,664
23,,12,1,7000,1,665
29,,11,1,50000,0,666
25,0,9,3,14000,0,667
56,0,,1,325000,0,668
27,0,9,1,50000,0,669
41,,13,1,328700,1,670
43,0,11,1,15000,0,671
27,0,14,4,81000,1,672
53,1,14,4,62600,1,673
53,1,13,,6200,1,674
,1,8,1,33000,1,675
38,0,9,1,100000,0,676
46,0,13,,67500,0,677
23,0,11,2,12000,0,678
27,0,13,1,38000,0,679
60,0,11,,39200,1,680
76,0,3,3,9600,1,681
51,0,12,1,0,0,682
54,1,15,1,106200,0,683
26,0,13,,0,0,684
19,1,9,3,3400,0,
,0,13,2,38500,1,686
24,1,1,3,0,1,687
53,,12,1,11100,0,688
,1,11,1,11000,0,689
19,1,11,4,,0,690
55,0,16,1,,1,691
25,0,10,3,25000,0,692
53,0,9,1,69200,1,693
72,0,7,1,20900,1,694
,1,14,2,54260,0,695
36,,6,1,25000,0,696
35,1,10,1,21150,0,
37,1,13,1,30400,0,
34,1,13,1,30000,,699
45,1,9,3,24000,,700
73,1,13,1,26100,1,
59,0,11,1,76000,1,702
21,1,11,,21000,0,703
22,,13,1,9800,0,704
38,1,13,,31000,1,705
22,1,11,1,6300,0,706
21,1,12,1,,0,707
76,1,6,1,116070,0,708
46,1,3,3,3100,1,709
42,0,1,4,14000,1,710
82,0,13,1,29800,1,711
33,1,1,3,0,1,712
37,1,13,4,13000,,713
32,0,8,1,0,0,714
44,1,7,1,11500,1,715
,1,13,4,26700,1,716
83,0,11,1,10800,1,717
39,0,12,2,36000,1,718
77,0,4,2,7000,0,719
60,0,,1,96000,0,720
53,0,14,1,159000,0,721
33,0,11,1,75000,1,722
50,0,13,4,77000,1,723
63,1,13,4,10000,0,724
74,0,11,2,62000,0,725
37,0,7,1,50000,1,726
31,1,5,1,6500,0,727
39,0,13,4,30000,0,
40,0,9,2,26800,1,729
83,1,9,1,,1,730
45,1,11,1,18300,0,731
53,1,11,1,35200,1,732
22,1,13,1,30380,0,733
78,0,16,1,46100,1,734
34,,9,4,18000,1,735
37,0,15,1,152000,0,736
43,0,11,1,93400,1,737
35,0,,1,65000,1,738
85,0,,1,19600,0,739
58,0,4,3,12700,1,740
31,0,15,1,33400,1,741
22,0,9,1,13700,0,742
65,0,9,1,21500,,743
79,0,9,1,22700,,744
26,1,10,,23000,0,745
40,0,11,3,36000,1,746
47,0,10,1,43600,1,747
19,0,10,1,14000,0,748
,1,1,3,0,1,749
35,1,9,,0,0,750
22,0,11,1,2600,0,751
42,1,12,4,40020,1,752
28,0,13,1,61130,1,753
,1,11,1,15000,0,754
40,1,3,4,17000,1,755
38,0,7,1,1000,,756
52,0,11,,0,0,757
24,1,9,3,4000,0,758
44,0,9,1,42000,1,759
23,1,9,3,0,0,
47,,10,1,110000,1,761
44,0,7,3,40800,1,762
51,1,13,1,1600,0,763
79,1,9,3,14700,1,764
23,0,11,,29000,0,765
68,1,,1,25200,0,766
34,1,9,1,35000,,767
52,0,13,4,0,,768
45,1,11,3,2000,1,769
39,1,13,1,42500,0,770
50,1,7,2,3600,1,771
52,1,9,4,84000,1,772
51,,11,1,12800,0,773
28,1,13,1,60000,0,774
39,0,5,3,25000,,775
46,0,8,1,0,,776
25,0,12,1,20000,0,777
27,1,9,3,3000,1,778
70,0,10,3,16300,1,779
27,1,10,6,31000,1,
,1,9,2,10000,0,781
44,0,9,4,20000,0,782
29,1,8,2,325000,0,783
48,0,14,1,135000,1,784
19,0,9,1,6300,0,
79,1,4,1,10800,0,786
33,0,11,1,5100,0,787
20,0,11,3,3600,0,788
42,1,12,1,7000,1,789
31,0,13,4,47000,0,790
46,1,14,3,14120,0,791
29,,9,1,32000,1,792
57,0,12,1,58400,1,793
22,0,9,3,16000,,794
53,0,2,3,18000,1,795
24,0,,3,0,1,796
82,1,4,3,22800,0,797
37,1,13,1,420500,0,798
48,1,12,1,,1,799
54,0,3,3,230,1,800
49,0,11,1,5800,0,801
19,1,7,,3000,0,802
,1,14,4,103000,1,803
37,0,12,1,56020,1,804
75,0,9,3,22700,,805
43,1,6,1,28900,0,806
41,0,12,,17900,0,807
62,0,6,1,0,0,808
45,1,13,1,34200,0,809
71,1,15,1,37800,1,810
40,1,3,3,0,1,811
18,0,7,1,4000,0,812
60,0,7,3,28900,1,813
34,1,12,1,0,1,814
50,1,11,1,,1,815
52,,14,1,26600,0,816
,1,7,1,0,1,817
43,1,10,,13700,1,818
42,1,11,1,5000,0,819
85,1,11,1,26500,0,820
35,1,9,3,8500,0,821
61,1,,2,20000,0,822
30,1,11,1,21600,1,823
20,0,9,1,1300,0,824
48,1,9,3,19100,1,825
44,1,14,6,44000,0,826
36,1,,3,0,1,827
41,1,12,3,38000,0,828
72,1,9,,9500,1,829
42,,9,1,19400,0,830
42,0,9,3,30000,1,831
82,1,9,1,13800,0,832
70,1,13,1,26200,1,833
24,0,7,3,5540,1,834
19,1,8,4,1100,0,835
50,1,9,1,13700,0,
56,1,16,,39000,1,837
36,0,13,1,,1,838
44,1,13,1,100000,1,839
42,1,13,1,45000,1,840
74,0,9,1,25200,1,841
64,0,14,1,80200,1,842
72,1,7,1,7200,1,843
39,0,14,3,82260,1,844
67,0,15,1,95000,1,845
28,,13,1,57000,0,846
41,0,13,1,45000,1,847
32,1,11,1,24000,0,848
42,1,8,3,5000,1,849
47,0,9,3,62000,1,850
75,0,15,1,57370,1,851
27,0,9,3,12000,0,852
,0,10,1,24000,0,853
49,0,13,1,80600,0,854
,1,9,1,13000,1,855
39,1,1,3,0,1,856
62,1,12,1,14000,0,857
70,1,14,2,40100,0,858
36,0,9,3,30000,1,859
45,0,1,3,9000,0,860
43,0,3,3,0,1,861
24,0,11,4,7200,1,862
47,1,,1,40200,0,863
57,0,16,1,251000,1,864
44,1,10,1,21500,,865
23,0,5,3,,0,866
48,1,3,3,14000,0,867
26,0,10,,13000,1,868
32,0,8,1,30000,1,869
21,1,9,1,0,1,870
54,0,13,1,56420,1,
25,1,13,1,,0,872
47,,13,3,34480,0,873
40,0,12,1,88000,1,874
45,1,11,3,5000,,875
29,0,12,1,39000,0,876
69,0,12,1,,0,877
67,0,11,1,2000,1,878
69,1,11,1,12500,,879
65,1,4,4,35600,0,880
27,0,12,4,7000,0,881
26,1,9,3,,0,882
46,1,9,1,27000,1,883
43,0,13,1,23600,1,884
72,0,14,1,15900,1,885
41,1,12,,0,1,886
45,0,13,1,72000,1,887
34,0,12,2,71050,1,888
48,1,13,1,332200,1,889
,1,11,1,11800,1,890
48,1,3,3,325000,1,891
40,1,13,4,0,1,892
23,0,9,,20000,0,893
21,0,10,1,1900,0,894
36,1,10,1,35000,0,895
20,0,11,1,22900,0,896
20,1,9,3,8700,0,897
39,1,13,1,0,,898
53,0,13,1,120000,0,899
20,0,3,3,0,0,900
40,1,9,1,62000,0,901
19,1,,1,5600,0,902
52,,6,3,8900,0,903
46,0,9,1,23000,,904
48,0,10,2,12000,0,905
39,0,11,1,80080,0,906
29,1,11,2,1000,0,907
22,0,3,,11000,1,908
,1,11,4,58500,0,909
25,0,8,3,0,0,910
51,0,15,1,100000,1,911
38,0,12,1,140000,1,912
34,1,13,4,60000,1,913
24,0,10,1,43120,,914
28,0,9,4,20000,0,915
21,1,5,3,3600,1,916
38,1,3,3,18000,0,917
49,1,11,,14500,0,918
22,0,11,1,12000,0,919
45,0,14,1,91100,1,920
64,0,13,1,52800,1,921
51,0,7,1,19000,0,922
40,1,10,1,0,0,923
18,0,9,3,0,0,924
43,0,13,1,23000,1,925
49,1,9,1,3200,0,926
31,1,8,1,10000,1,927
42,0,8,3,21000,1,928
56,1,9,1,0,1,929
73,0,1,1,3000,1,930
29,,5,3,17200,1,931
18,1,7,3,1200,0,932
,1,9,4,0,1,933
22,0,8,3,4000,0,934
,1,14,2,33000,0,935
53,0,10,1,50000,0,936
67,0,8,3,251000,1,937
69,1,9,1,11600,1,938
19,1,9,3,24500,1,939
47,1,1,1,0,0,
18,1,9,1,1600,0,941
57,0,,2,90000,1,942
47,1,11,1,0,1,943
27,0,11,3,15000,,944
21,0,9,3,,0,945
93,1,12,1,88200,0,946
43,1,2,1,8800,0,947
47,1,13,3,66000,1,948
29,0,11,1,38300,0,949
47,0,9,3,23100,0,950
27,0,1,3,14800,1,951
42,1,13,4,,1,952
,0,3,3,28000,1,953
,1,11,3,12700,0,954
55,0,14,1,75000,,955
,0,7,1,500,0,956
40,0,9,1,14000,1,957
64,1,11,1,0,,958
64,1,9,1,0,1,959
88,1,3,4,6000,,960
24,,9,2,10200,0,961
,0,8,4,23000,1,962
76,1,10,1,0,1,963
43,1,9,3,,0,964
64,1,9,3,1700,1,965
21,,11,3,18000,0,966
22,0,9,,0,0,967
