a,b,c
40,17,1
14,28,0
8,1,1
13,34,0
32,27,1
5,25,1
11,4,1
38,40,1
8,37,0
17,35,0
36,19,1
2,50,0
9,24,1
4,12,1
48,0,1
14,14,1
47,13,1
38,18,1
45,47,1
48,8,1
30,2,1
43,4,1
20,2,1
25,37,1
15,44,0
18,11,1
3,31,0
3,44,0
21,35,0
40,23,1
30,6,1
22,47,0
45,50,1
5,32,0
4,6,1
42,40,1
45,14,1
45,46,1
2,0,1
0,21,1
36,41,1
40,13,1
1,21,1
46,24,1
27,29,1
6,1,1
9,27,0
37,6,1
10,1,1
13,50,0
15,11,1
3,8,1
3,12,1
44,7,1
27,39,1
17,19,1
27,3,1
46,41,1
17,37,0
30,15,1
39,44,1
19,9,1
43,49,1
28,39,1
42,21,1
29,30,1
8,22,1
28,3,1
22,5,1
21,14,1
22,29,0
31,43,1
40,49,1
48,5,1
48,23,1
29,2,1
46,19,1
18,26,0
1,11,1
45,23,1
8,41,0
42,4,1
5,26,0
50,40,1
48,13,1
39,6,1
46,31,1
33,37,1
33,25,1
37,28,1
49,36,1
13,28,0
28,44,1
47,11,1
15,44,0
32,10,1
15,50,0
25,0,1
17,42,0
10,24,1
40,38,1
13,11,1
26,27,1
17,49,0
38,36,1
24,25,1
36,29,1
27,8,1
37,32,1
41,28,1
50,44,1
50,39,1
11,36,0
32,30,1
16,14,1
20,7,1
43,13,1
46,48,1
13,11,1
16,1,1
35,45,1
33,46,1
41,1,1
34,3,1
35,37,1
12,45,0
6,27,0
20,7,1
14,41,0
12,5,1
37,24,1
33,47,1
42,47,1
24,47,0
15,47,0
29,42,1
27,11,1
30,21,1
33,8,1
8,22,1
30,5,1
16,20,1
9,40,0
25,31,1
12,16,1
24,4,1
36,26,1
19,11,1
31,42,1
13,15,1
1,24,1
2,32,0
41,15,1
22,50,0
47,19,1
5,14,1
34,32,1
27,41,1
19,37,0
39,29,1
28,4,1
32,20,1
33,0,1
46,20,1
29,27,1
8,37,0
11,37,0
46,24,1
20,46,0
40,0,1
2,18,1
39,36,1
47,38,1
10,21,1
17,49,0
33,19,1
43,1,1
24,44,0
47,27,1
18,50,0
20,39,0
11,48,0
5,24,1
14,29,0
1,20,1
28,23,1
17,9,1
1,31,0
17,16,1
39,40,1
32,29,1
16,20,1
14,34,0
3,44,0
27,43,1
44,22,1
36,19,1
45,20,1
34,19,1
29,33,1
32,1,1
35,27,1
44,9,1
13,16,1
2,24,1
49,43,1
24,17,1
32,9,1
32,4,1
7,24,1
30,11,1
10,35,0
45,42,1
30,29,1
22,49,0
3,36,0
47,14,1
46,1,1
14,29,0
36,21,1
30,26,1
10,1,1
26,31,1
46,24,1
20,50,0
26,38,1
5,20,1
21,4,1
9,42,0
29,1,1
2,47,0
29,4,1
10,10,1
16,4,1
45,9,1
41,46,1
32,0,1
27,15,1
3,11,1
30,38,1
19,6,1
30,41,1
4,36,0
23,23,1
36,0,1
12,32,0
6,19,1
43,1,1
16,35,0
25,41,1
28,25,1
38,34,1
45,40,1
48,37,1
32,35,1
7,37,0
36,10,1
48,41,1
42,49,1
48,40,1
1,8,1
33,6,1
8,26,0
30,19,1
43,47,1
2,48,0
12,29,0
46,30,1
1,48,0
47,22,1
32,50,1
39,18,1
14,2,1
15,11,1
50,44,1
15,11,1
9,44,0
45,36,1
12,13,1
18,27,0
6,43,0
19,3,1
15,20,1
42,33,1
23,26,0
42,18,1
39,35,1
41,17,1
49,17,1
28,48,1
39,34,1
35,27,1
34,12,1
50,15,1
19,50,0
25,17,1
0,34,0
39,24,1
37,25,1
41,4,1
33,46,1
39,46,1
11,9,1
2,20,1
5,46,0
37,7,1
2,40,0
16,6,1
36,36,1
50,0,1
5,40,0
50,15,1
4,17,1
33,10,1
8,7,1
35,40,1
17,19,1
1,38,0
45,31,1
19,9,1
27,28,1
37,27,1
19,18,1
18,6,1
23,29,0
40,41,1
50,28,1
50,2,1
13,3,1
31,44,1
9,45,0
21,3,1
27,20,1
31,49,1
4,22,1
2,21,1
13,46,0
4,39,0
41,31,1
6,15,1
38,26,1
18,40,0
21,46,0
23,13,1
18,38,0
50,16,1
1,36,0
33,43,1
18,22,1
28,10,1
20,37,0
13,20,1
45,38,1
31,44,1
11,17,1
29,19,1
7,43,0
6,21,1
28,39,1
1,29,0
23,46,0
18,12,1
50,12,1
37,21,1
46,44,1
42,10,1
3,1,1
12,37,0
32,19,1
43,36,1
8,43,0
29,44,1
40,19,1
42,24,1
7,15,1
46,18,1
2,36,0
25,12,1
7,0,1
2,2,1
37,23,1
27,2,1
13,2,1
14,22,1
45,6,1
3,28,0
42,18,1
0,48,0
27,9,1
7,3,1
0,49,0
28,39,1
35,29,1
22,13,1
34,33,1
20,30,0
2,6,1
15,13,1
24,28,0
3,32,0
21,48,0
35,8,1
50,17,1
4,23,1
11,46,0
45,50,1
21,37,0
48,29,1
24,37,0
5,48,0
11,19,1
25,25,1
49,34,1
46,4,1
30,37,1
43,11,1
43,0,1
36,46,1
14,18,1
37,24,1
18,18,1
40,39,1
21,12,1
24,2,1
29,37,1
47,6,1
3,34,0
19,17,1
20,17,1
50,47,1
43,22,1
8,49,0
6,41,0
22,30,0
45,16,1
9,24,1
43,36,1
3,6,1
41,16,1
50,33,1
0,48,0
34,7,1
32,30,1
18,29,0
6,50,0
46,15,1
41,25,1
38,9,1
23,23,1
49,1,1
45,17,1
9,14,1
44,0,1
4,17,1
33,45,1
10,31,0
24,32,0
11,46,0
26,13,1
28,29,1
42,26,1
41,29,1
14,47,0
2,13,1
25,0,1
41,18,1
6,10,1
2,8,1
24,42,0
45,24,1
50,48,1
11,35,0
33,24,1
4,50,0
37,48,1
32,42,1
33,32,1
18,27,0
6,14,1
3,28,0
8,31,0
22,12,1
9,28,0
43,41,1
26,25,1
15,28,0
10,45,0
4,2,1
47,39,1
7,48,0
34,22,1
19,11,1
21,17,1
5,9,1
9,40,0
45,49,1
18,24,1
22,27,0
4,3,1
11,38,0
15,6,1
14,21,1
3,16,1
18,36,0
4,16,1
39,47,1
0,23,1
7,32,0
6,33,0
11,25,1
33,2,1
26,8,1
50,50,1
29,30,1
15,48,0
46,30,1
27,13,1
33,0,1
8,35,0
44,10,1
41,18,1
47,22,1
28,3,1
0,9,1
25,21,1
33,6,1
50,11,1
23,23,1
38,21,1
17,24,1
14,23,1
50,33,1
19,14,1
8,35,0
48,37,1
25,1,1
14,45,0
39,29,1
41,44,1
0,15,1
47,3,1
40,27,1
22,38,0
35,9,1
26,37,1
39,43,1
6,34,0
39,27,1
8,16,1
40,23,1
2,12,1
29,44,1
29,1,1
39,14,1
41,31,1
38,43,1
2,12,1
22,14,1
12,37,0
0,7,1
43,8,1
21,14,1
24,2,1
38,13,1
12,37,0
34,31,1
31,6,1
44,26,1
16,45,0
44,30,1
14,25,1
50,6,1
48,48,1
7,23,1
6,43,0
44,29,1
31,44,1
34,37,1
28,19,1
15,44,0
49,4,1
9,37,0
23,17,1
41,36,1
30,22,1
26,22,1
8,12,1
9,0,1
21,34,0
38,25,1
37,14,1
10,34,0
3,32,0
18,14,1
17,16,1
14,35,0
13,31,0
40,4,1
40,23,1
46,27,1
38,50,1
5,6,1
7,28,0
16,42,0
22,37,0
3,16,1
2,2,1
18,15,1
28,27,1
48,21,1
4,3,1
7,42,0
