fake_column_1,fake_column_2,fake_column_3,fake_column_4
11,0,27,48
54,35,75,74
94,61,50,9
39,24,40,66
99,92,63,89
36,75,15,1
60,44,11,95
86,3,47,88
48,71,1,5
18,95,22,67
7,85,3,18
25,63,5,80
49,48,78,18
7,19,37,80
45,74,41,3
2,8,52,21
2,39,7,74
62,56,32,64
25,24,92,31
47,31,24,39
19,49,83,40
98,67,96,63
50,45,35,92
13,83,19,57
5,65,99,52
55,22,75,18
82,93,32,21
42,11,29,14
50,3,27,70
18,17,58,7
37,15,32,23
94,6,93,1
27,39,98,89
77,76,6,51
90,32,94,10
37,96,97,67
27,88,76,99
69,77,72,86
50,38,34,85
86,83,11,78
71,76,93,86
32,84,70,96
33,17,64,2
44,72,28,52
25,65,38,88
44,29,51,47
20,97,49,20
68,29,2,44
84,83,16,53
44,42,69,9
45,12,99,62
37,39,60,44
51,25,80,73
66,2,5,85
56,28,60,32
47,88,7,69
15,83,73,45
49,96,58,15
18,89,79,77
61,1,20,53
5,26,39,28
82,29,63,38
15,65,22,66
43,39,3,27
80,81,27,32
25,89,88,68
33,47,71,40
50,82,18,49
34,10,37,15
89,41,52,99
44,81,62,63
17,68,5,98
89,64,5,8
98,54,80,16
39,6,43,51
3,19,96,58
25,38,64,55
29,62,10,87
60,88,86,89
17,64,54,43
63,91,40,50
60,46,57,2
71,86,75,48
27,86,88,98
26,67,86,63
84,66,74,90
9,24,64,99
50,78,21,57
70,40,94,24
73,52,12,2
12,61,39,57
72,50,60,31
28,81,11,55
93,80,58,44
65,4,95,58
47,46,95,7
90,71,89,39
96,29,45,3
86,14,78,65
67,48,50,51
52,88,57,43
50,48,66,67
34,35,56,26
21,31,77,70
49,3,5,53
63,46,74,13
0,52,32,24
11,91,13,93
94,70,48,32
66,64,14,61
8,62,6,70
0,21,94,64
65,68,35,92
41,41,54,10
72,89,45,74
94,37,84,31
3,68,29,96
51,52,76,62
79,61,96,79
34,5,54,76
34,63,52,99
68,24,34,13
21,18,73,56
51,23,1,77
59,58,47,55
2,69,54,3
81,46,29,89
37,32,77,29
2,79,51,74
47,47,94,22
44,79,61,35
24,24,2,43
18,12,74,83
59,36,64,48
7,12,41,58
79,79,68,31
29,60,76,43
4,71,52,25
76,99,71,18
70,72,77,47
43,30,10,80
73,30,42,40
80,8,83,74
56,83,4,100
18,55,50,70
70,56,87,84
23,34,45,56
0,81,69,92
31,74,98,15
24,8,15,64
72,44,9,21
49,81,94,72
13,32,35,4
19,46,70,23
14,25,78,52
76,62,15,72
36,0,90,22
64,30,81,30
85,100,82,33
25,87,21,81
72,33,84,96
17,43,50,51
58,52,22,46
88,61,9,28
4,93,24,41
53,84,26,91
51,22,85,98
36,48,10,15
29,25,61,53
52,83,18,63
73,47,66,67
77,75,26,46
31,58,100,93
78,0,30,63
14,93,63,93
51,65,76,49
59,46,75,72
34,36,92,53
86,40,28,26
25,54,15,65
57,76,30,48
37,25,88,44
3,45,41,22
45,53,27,99
29,20,5,36
11,43,30,43
3,55,96,18
3,52,94,2
11,45,29,79
100,17,53,85
90,5,67,66
62,70,8,30
30,98,26,35
71,82,99,96
38,58,37,53
13,25,17,17
99,74,31,59
40,52,66,54
35,17,77,38
42,60,91,74
18,76,99,56
20,9,95,28
15,66,67,89
2,71,88,82
4,29,50,63
22,78,4,75
27,23,3,95
54,53,82,14
74,83,16,7
23,38,74,50
85,16,52,69
66,0,35,73
26,76,47,40
6,87,31,35
74,0,35,79
10,28,2,44
11,77,97,96
18,19,32,45
59,25,42,2
45,49,56,81
71,42,17,66
0,68,14,19
19,12,19,19
95,92,45,3
17,31,23,53
76,79,34,56
69,2,9,11
11,69,92,44
56,72,88,86
85,15,59,15
16,3,100,0
82,16,16,98
51,47,69,37
35,20,11,18
20,94,5,35
15,83,19,16
82,98,37,42
39,82,76,3
81,27,54,70
16,16,36,36
65,15,67,8
66,35,79,22
96,45,95,85
41,67,47,24
85,4,13,39
46,73,58,10
16,99,61,100
92,73,46,24
83,42,19,79
88,60,26,89
63,44,68,100
64,13,50,2
25,86,51,20
97,32,74,65
92,83,14,77
29,5,23,100
47,68,38,1
51,35,77,51
91,59,32,2
35,70,100,83
92,5,45,55
85,61,77,52
5,78,79,99
76,19,54,23
29,11,8,41
75,0,2,71
65,0,55,65
15,95,63,64
38,12,30,17
59,66,33,70
17,96,51,87
15,40,31,5
6,41,82,74
24,79,60,45
27,77,49,18
44,65,59,83
21,80,65,75
55,41,73,31
47,51,39,93
85,89,96,45
51,27,16,14
25,55,87,24
44,47,73,44
22,64,100,53
87,19,5,81
94,15,18,31
47,72,86,3
39,34,77,36
63,65,50,2
56,25,76,98
56,87,97,66
29,1,79,19
17,20,26,55
69,74,91,7
67,56,97,24
80,31,38,61
76,24,97,65
14,84,66,67
39,87,26,53
38,87,18,52
67,32,99,52
8,47,36,16
8,87,53,25
51,43,77,68
32,2,94,5
71,52,89,54
46,79,50,0
16,57,28,88
87,66,5,65
59,48,69,85
97,56,55,79
40,58,69,60
93,77,66,14
8,64,38,81
19,90,39,89
8,89,89,35
93,36,5,21
74,50,61,11
59,13,5,67
94,20,3,92
28,96,13,70
91,46,0,1
50,7,78,90
99,19,25,26
49,23,4,99
16,6,46,95
16,0,9,73
79,31,11,65
20,67,10,53
64,86,19,84
10,26,91,70
35,15,80,25
31,35,61,76
67,45,67,12
27,36,33,10
49,54,18,37
84,58,84,57
17,48,60,13
68,6,88,47
47,64,34,28
95,51,14,91
85,47,79,53
75,11,30,95
67,25,3,25
60,64,39,72
11,62,46,14
9,38,85,46
8,90,6,27
70,27,56,83
10,37,44,6
68,72,93,74
87,17,62,74
57,13,20,72
91,13,45,99
79,54,33,75
47,12,25,9
38,77,63,14
98,25,24,93
5,42,99,19
89,85,75,40
68,41,70,86
9,51,3,7
95,2,36,42
50,81,64,50
77,99,35,57
50,60,66,58
48,61,61,48
34,58,64,48
71,40,64,30
30,42,91,87
26,38,88,54
54,27,95,63
35,81,5,17
26,69,94,16
97,64,52,90
71,62,17,88
14,94,90,98
91,85,38,68
62,78,8,97
71,72,61,21
24,45,51,27
37,38,54,97
38,48,23,2
43,26,66,78
100,33,18,69
80,6,31,31
74,21,58,73
80,6,11,69
22,26,9,96
50,46,71,50
79,74,7,58
4,76,68,24
91,35,30,1
18,59,25,92
66,52,76,8
63,92,1,57
63,16,80,71
97,27,64,66
94,19,50,59
36,63,30,78
44,16,55,26
93,87,50,0
84,91,43,99
42,5,35,92
80,22,80,79
61,3,71,19
0,11,63,89
73,30,52,20
68,48,33,74
95,75,48,24
72,77,41,1
0,24,57,92
84,6,41,52
4,14,31,43
42,61,29,49
78,78,91,28
35,44,95,100
60,92,6,29
48,66,84,60
61,58,12,33
29,80,53,85
85,92,8,99
51,59,69,61
63,19,79,52
76,6,49,5
56,67,83,78
40,78,25,82
39,69,46,89
35,74,3,38
9,81,76,31
86,33,24,91
52,93,85,34
98,40,61,27
96,71,44,41
85,30,77,42
23,46,82,13
69,11,28,15
56,79,30,0
93,28,20,16
7,51,89,62
76,69,21,52
70,84,58,55
48,14,17,47
9,6,72,33
80,72,78,95
5,78,31,8
43,54,72,8
21,64,95,8
90,79,80,52
41,23,48,36
16,78,26,63
62,37,67,34
31,95,38,92
50,92,24,82
27,77,18,6
100,81,73,100
88,26,47,57
96,76,55,75
68,96,65,38
22,30,45,50
96,43,13,33
22,93,44,0
77,56,1,90
80,42,85,67
78,61,0,72
87,97,96,43
36,13,10,59
80,26,96,10
8,65,89,53
22,66,26,7
68,21,5,68
76,96,10,0
0,92,22,23
19,29,20,2
66,87,97,94
71,10,20,10
49,22,91,91
74,88,16,63
21,5,21,94
41,56,24,26
29,99,48,43
50,22,68,37
25,35,86,94
27,99,9,90
51,14,1,43
99,21,70,42
27,89,52,78
9,27,19,27
15,40,51,72
68,63,100,90
9,96,80,100
2,21,95,2
70,61,18,85
57,91,79,78
66,24,79,56
64,70,75,50
62,69,55,11
100,55,65,85
10,71,43,66
82,0,92,53
76,23,35,65
12,78,98,35
0,33,17,16
27,20,23,78
56,31,2,69
91,1,66,70
67,4,17,97
94,13,4,27
97,24,50,11
8,98,5,74
26,99,21,12
39,92,60,16
61,69,34,71
10,91,58,96
39,12,2,24
44,18,21,56
66,95,54,84
73,12,92,88
11,34,92,47
65,29,29,85
23,84,49,44
26,17,56,12
57,88,68,78
41,33,10,84
95,75,22,73
33,1,64,86
71,8,19,79
95,19,26,67
70,65,84,37
43,51,44,37
12,26,48,87
78,81,78,94
76,96,50,47
98,73,56,57
50,94,70,58
64,51,43,45
5,74,49,39
2,13,20,11
61,12,11,0
80,35,34,44
64,82,15,67
26,52,74,69
83,52,80,73
70,5,14,26
36,84,18,16
60,62,76,69
93,85,67,19
3,19,56,93
72,93,47,97
92,8,10,27
27,38,39,55
74,26,97,61
91,41,68,48
6,80,46,77
17,18,68,19
67,90,95,45
49,15,22,91
69,33,49,65
2,40,71,88
41,91,6,7
90,51,97,74
6,45,48,54
53,76,50,37
81,35,4,36
56,41,88,97
82,71,25,96
5,14,49,59
18,98,68,73
100,6,96,23
32,18,75,37
9,46,29,87
65,41,42,77
46,58,61,18
59,19,82,86
43,49,49,13
44,80,17,98
11,76,48,9
68,83,19,7
100,69,78,98
73,92,67,76
19,49,84,44
1,43,67,60
21,93,0,36
67,6,71,87
27,34,9,77
9,16,4,6
3,61,92,73
38,86,19,35
35,60,34,66
40,40,36,22
79,92,90,20
8,39,51,82
10,44,53,40
82,24,53,49
16,93,95,42
12,59,7,78
87,89,9,28
52,43,76,11
46,60,36,30
6,7,7,96
25,37,100,78
1,79,7,68
9,33,19,76
75,43,15,45
58,59,42,89
46,93,41,64
3,99,37,82
58,1,73,34
49,78,17,49
50,29,82,87
70,53,98,75
97,62,99,9
96,88,46,25
6,12,62,26
8,92,91,5
90,81,87,65
81,31,82,51
26,46,94,97
68,57,20,9
79,40,50,40
40,34,91,24
25,7,39,13
15,59,86,24
48,18,58,17
5,77,96,75
21,46,38,40
81,77,12,60
49,60,84,41
23,37,82,1
33,4,66,60
34,72,27,33
37,50,58,56
89,63,75,76
79,52,82,44
52,60,37,75
28,91,1,10
79,73,81,78
46,68,0,38
25,89,60,47
58,1,49,68
8,0,82,45
28,88,59,81
58,82,82,7
49,16,42,55
99,88,58,47
19,100,36,48
31,70,63,55
72,86,33,72
89,34,83,46
88,86,98,84
65,11,75,68
36,84,70,66
52,31,94,26
98,59,43,50
61,72,19,25
0,50,37,44
83,65,90,100
70,67,88,3
71,29,22,33
9,54,26,27
75,70,51,28
26,6,33,22
35,0,79,36
57,84,13,41
84,52,54,18
73,42,1,48
68,32,88,0
63,39,82,53
53,3,85,7
82,10,28,31
65,62,99,81
43,63,100,23
88,35,57,13
41,37,15,4
12,57,80,15
18,45,71,9
71,97,37,0
49,21,30,73
20,67,15,70
5,22,2,71
14,37,0,3
99,59,77,68
80,86,7,68
41,64,22,48
86,3,57,79
9,77,51,46
37,81,18,65
11,76,6,37
91,25,79,32
64,71,81,30
100,21,79,73
36,100,19,99
29,38,7,39
64,89,63,9
85,26,50,67
43,93,6,37
77,70,90,4
65,19,47,42
9,18,0,71
56,33,11,67
52,66,74,0
32,45,65,70
96,1,98,81
83,62,76,49
5,61,80,67
66,60,58,75
0,95,76,40
69,90,43,2
22,44,82,85
34,48,4,84
12,2,16,92
99,37,19,97
76,54,88,80
65,19,25,36
70,99,7,71
92,78,17,55
61,52,31,31
99,66,87,76
36,73,84,6
72,17,34,33
40,6,57,14
52,27,57,35
27,7,91,66
98,80,8,6
65,58,69,0
88,34,98,43
15,61,11,16
13,11,60,61
30,54,93,52
66,7,9,91
88,26,72,51
1,90,92,1
51,62,50,18
54,29,11,60
98,18,6,42
23,64,12,23
23,15,81,65
77,3,60,64
99,95,35,10
69,70,64,3
24,52,86,97
96,25,65,18
70,67,61,60
82,91,67,82
27,3,73,80
14,62,75,99
24,50,25,21
15,3,24,91
93,28,51,20
81,75,55,8
49,82,29,34
0,94,69,84
36,82,33,47
29,16,30,12
33,48,49,14
96,75,49,97
35,98,8,85
88,12,82,43
65,77,70,32
23,84,82,72
17,49,20,14
85,69,23,69
30,81,22,10
2,71,68,61
1,48,32,83
7,61,17,50
8,62,64,50
26,32,82,49
64,38,66,84
83,21,44,35
18,23,5,60
93,69,10,63
64,77,8,4
21,41,85,46
52,24,96,55
22,5,84,90
93,66,58,72
93,28,68,60
83,86,56,34
48,75,3,31
29,70,58,77
62,8,61,36
73,41,10,82
46,62,98,95
8,16,4,86
26,4,30,27
85,78,46,26
49,85,6,75
78,38,33,23
61,63,47,93
10,92,69,26
4,33,98,74
76,98,70,31
90,91,69,66
85,13,97,2
18,8,75,22
20,93,74,1
82,30,13,78
28,84,3,85
48,57,72,6
90,83,14,2
24,28,23,85
86,21,32,91
25,57,79,99
30,12,31,3
21,31,8,30
41,63,0,93
47,6,14,28
69,84,94,16
41,66,16,71
84,26,55,95
62,19,99,33
29,18,95,90
64,49,70,85
53,30,99,84
94,8,64,72
46,12,30,8
5,49,60,86
63,44,89,63
23,96,42,62
92,7,55,54
72,1,75,43
42,51,54,27
72,53,84,56
45,94,70,67
64,74,35,87
95,22,1,30
26,54,67,32
79,43,19,34
16,13,52,34
26,59,28,32
99,100,59,89
8,56,60,68
23,70,74,19
3,40,6,27
21,67,0,42
98,29,91,13
86,35,72,96
28,36,92,83
0,55,95,11
66,61,26,92
43,54,64,69
5,66,46,35
12,52,61,42
86,67,73,91
70,48,56,86
100,38,100,52
77,97,11,39
88,32,77,39
50,76,39,47
72,66,53,74
48,78,48,80
61,5,68,92
12,59,50,20
40,65,74,56
91,69,22,43
26,77,82,2
90,68,32,14
91,93,51,12
25,1,36,33
92,9,13,63
22,15,89,91
14,52,89,20
62,22,52,91
10,43,42,18
73,37,76,56
48,69,1,98
61,89,85,2
21,19,24,12
36,41,2,38
84,58,1,67
1,99,85,72
48,22,64,54
68,36,6,52
75,55,37,31
39,24,88,45
96,76,80,51
50,86,38,20
22,19,82,57
27,62,95,80
86,71,85,73
47,22,15,38
27,21,31,95
60,5,64,86
62,25,53,51
15,9,22,74
80,52,78,95
4,36,95,12
26,36,57,73
32,23,24,4
96,35,68,68
63,19,48,0
31,79,5,82
97,68,26,36
22,9,39,33
66,29,54,36
89,23,33,71
12,88,52,35
65,67,64,78
30,83,47,90
84,69,73,24
52,86,16,63
7,20,60,0
6,67,85,0
63,4,55,28
37,99,41,39
27,3,25,76
99,99,72,85
56,18,14,71
34,46,72,61
18,10,93,35
57,29,89,51
15,70,77,91
97,67,55,20
82,17,82,14
58,58,26,76
78,95,82,47
87,26,91,90
42,59,45,79
26,18,7,77
53,100,96,98
86,49,82,74
85,29,47,35
17,42,61,44
0,99,64,5
66,46,100,74
70,68,43,36
23,55,37,70
30,81,67,33
19,34,88,42
27,21,34,67
98,80,57,25
55,30,46,85
68,0,88,69
72,62,45,74
83,0,46,57
2,85,24,42
73,49,82,80
34,70,46,84
1,9,33,56
23,31,88,94
96,2,36,1
35,100,58,74
89,19,24,27
75,70,100,82
26,9,8,39
61,64,22,93
50,78,79,10
23,77,74,94
71,63,98,70
56,31,74,64
89,47,69,33
71,74,30,41
71,47,48,47
74,24,45,27
2,83,5,55
63,19,72,92
48,30,86,39
24,62,72,48
45,74,35,67
85,94,84,75
39,94,62,24
7,50,58,81
57,35,46,60
72,32,78,24
22,90,96,11
35,31,36,5
42,13,29,86
32,80,100,70
23,99,68,31
61,5,40,58
95,67,90,88
80,47,11,24
63,9,23,10
43,1,60,53
59,32,90,90
97,27,67,15
27,86,9,13
77,18,73,66
75,72,70,4
43,42,99,7
80,79,86,9
95,28,82,90
28,37,10,83
33,54,41,0
40,54,95,1
25,29,1,2
13,74,35,45
94,6,75,83
76,58,14,39
69,37,5,35
44,61,53,72
89,90,82,59
89,7,43,22
60,12,92,30
19,11,29,3
68,82,39,56
5,99,30,100
84,23,84,88
2,61,23,52
3,34,31,40
73,14,24,96
5,66,80,68
74,21,45,55
49,36,5,35
39,55,96,41
31,68,73,12
8,25,18,25
36,39,0,45
66,32,75,45
79,1,72,23
28,28,57,15
36,62,88,52
81,44,0,65
9,9,79,92
48,34,83,44
69,2,46,12
3,73,36,93
14,27,29,71
57,48,42,81
57,49,75,24
35,18,62,56
94,17,80,35
27,93,80,66
81,27,32,88
27,35,27,93
98,92,95,25
28,2,58,49
79,91,65,41
24,99,96,38
69,33,99,4
100,15,43,29
53,42,87,51
92,54,6,68
28,17,97,79
98,29,71,73
29,35,36,97
82,25,83,55
13,32,12,49
79,62,96,17
78,80,98,94
88,27,55,74
96,17,75,87
53,73,4,67
33,67,56,89
41,56,70,3
70,33,5,97
61,99,22,98
50,40,81,45
7,11,29,88
100,59,69,47
47,30,71,57
28,83,12,69
98,7,67,17
67,40,2,3
24,37,34,36
17,16,24,26
30,57,16,79
42,69,12,78
73,49,46,89
100,20,54,41
71,94,85,43
76,77,21,24
99,49,32,18
4,96,55,100
89,62,68,93
56,13,77,34
14,100,12,61
79,19,27,93
58,63,60,51
11,90,46,31
65,52,39,11
21,43,60,63
24,34,35,83
78,22,99,60
51,11,54,7
54,74,50,76
38,43,58,53
93,23,97,89
57,43,67,36
92,11,95,67
86,46,33,6
65,63,99,9
35,95,79,10
45,99,46,81
63,93,94,77
95,45,4,86
61,59,27,94
26,79,82,90
80,42,72,84
17,39,8,78
66,16,45,5
52,53,34,86
26,35,100,1
1,22,46,55
37,77,42,60
95,25,6,35
30,30,34,6
100,98,31,4
3,24,45,26
53,93,10,15
69,34,25,31
1,67,91,82
67,9,45,89
81,28,82,48
88,70,94,97
82,95,17,33
85,39,56,71
84,5,24,96
11,79,58,25
62,5,24,1
53,66,6,90
33,58,18,36
18,53,49,63
21,60,41,41
23,37,9,21
24,16,19,65
0,41,57,25
72,40,85,57
4,95,99,61
92,32,63,35
83,7,39,17
52,17,80,21
59,36,39,23
76,46,68,85
93,27,19,63
53,12,70,27
14,74,42,13
39,49,52,7
31,23,50,96
15,32,25,96
64,96,65,49
61,69,56,74
12,11,82,99
82,39,84,90
95,15,15,6
3,41,93,78
4,36,37,54
11,15,54,45
82,29,0,50
83,27,29,31
82,98,69,33
89,13,84,90
14,41,38,100
25,82,90,15
14,1,76,17
30,22,26,82
18,55,71,20
38,72,27,47
19,61,38,86
14,14,6,22
81,45,43,54
91,86,9,51
76,35,0,62
55,31,57,19
81,65,13,68
93,19,41,20
100,5,51,51
97,75,73,97
91,44,80,24
95,21,100,93
97,93,81,82
93,31,16,21
37,41,61,68
12,11,14,74
64,2,68,45
86,54,69,27
6,44,1,95
33,39,73,41
64,44,3,94
36,0,63,96
66,100,69,88
61,6,41,96
44,66,29,47
83,6,80,51
18,5,32,93
31,34,81,22
53,51,24,98
39,12,13,5
94,33,3,37
34,96,52,61
33,67,38,85
10,38,49,92
86,49,10,96
88,36,90,12
73,32,74,7
10,96,20,10
49,77,66,0
65,6,66,88
54,9,32,53
85,61,80,24
49,47,70,22
49,18,0,19
31,88,48,73
46,0,71,47
25,3,21,43
20,90,75,80
47,18,69,51
59,86,15,62
0,67,5,98
18,37,5,71
27,91,52,93
51,10,4,32
54,11,69,95
32,29,7,16
68,85,75,56
82,46,9,30
23,55,8,31
17,30,39,69
2,38,85,16
65,70,33,50
66,25,20,28
63,85,62,66
20,74,32,94
1,72,57,8
18,44,27,58
51,1,48,3
82,43,54,66
83,21,94,89
58,42,61,82
34,12,70,51
1,39,65,69
5,10,23,91
59,99,50,71
87,7,1,100
75,93,37,30
91,59,58,41
6,80,81,18
84,100,99,81
99,95,36,14
48,20,100,94
27,91,93,66
94,28,59,68
41,48,93,43
21,100,29,48
86,16,36,23
98,4,98,86
95,100,78,4
27,63,8,39
22,77,78,32
28,78,51,46
60,20,1,65
31,18,40,21
47,89,87,79
13,7,100,26
48,82,48,69
43,23,60,59
75,97,23,3
45,83,96,26
96,98,52,18
53,21,37,31
61,43,58,29
72,75,91,70
98,48,14,20
10,28,69,13
34,34,26,60
13,45,16,3
6,86,44,46
84,3,91,30
96,72,60,50
35,43,10,35
17,60,74,48
59,18,56,37
22,74,71,25
12,54,64,53
25,28,48,14
99,58,55,95
74,8,24,21
47,49,79,62
93,45,4,53
11,2,44,6
16,85,40,99
45,20,75,38
24,81,65,31
100,99,87,21
11,24,90,62
94,64,39,23
15,18,69,71
67,3,75,82
94,42,85,31
55,1,62,5
97,9,99,21
80,29,97,27
62,76,18,34
76,96,4,70
11,3,99,75
41,27,33,74
35,32,48,22
2,44,91,25
3,3,41,95
30,9,10,94
77,54,35,47
8,18,49,16
44,34,29,80
16,58,25,40
77,27,61,5
98,17,5,68
47,3,100,82
22,45,67,53
68,31,14,56
52,35,82,5
42,90,48,80
76,97,90,84
39,73,44,2
51,89,6,91
14,74,60,47
55,54,91,77
41,21,47,50
29,89,18,41
92,69,86,31
16,69,22,89
7,100,95,90
65,11,87,61
52,43,63,44
73,83,87,20
47,35,31,18
13,47,58,43
51,85,32,76
47,38,3,51
81,27,55,83
63,36,33,92
13,25,58,71
79,18,11,11
35,12,91,89
54,39,90,46
21,15,90,29
97,21,25,46
94,6,82,29
56,54,16,92
39,10,10,63
75,98,23,86
54,36,36,3
51,16,100,52
98,66,81,56
46,31,76,77
74,46,17,86
45,79,32,53
30,48,54,90
45,10,46,13
48,25,75,63
9,32,86,12
58,42,44,63
42,56,48,11
76,38,23,75
87,83,25,13
98,77,37,29
58,47,5,16
23,81,29,80
50,59,43,98
9,31,89,88
55,100,20,83
38,27,24,48
100,77,83,92
53,87,30,22
49,77,84,28
37,2,4,88
1,50,86,99
90,29,47,21
16,53,94,87
81,56,64,99
61,41,76,45
66,55,2,14
22,71,62,64
84,13,66,43
48,39,87,84
100,21,39,36
43,17,76,96
74,63,10,37
94,61,40,28
10,98,5,33
77,80,9,51
62,37,85,46
68,80,58,56
11,97,84,39
21,53,87,31
8,75,15,46
40,68,7,42
41,92,42,0
68,70,90,24
78,57,32,86
